nom_depute,1,2,3,4,5,6,7,8,9,10
thibault-bazin,0,1,-1,-1,-1,-1,-1,-1,-1,-1
marc-fesneau,1,0,0,0,0,0,0,0,0,-1
laurence-maillart-mehaignerie,1,0,0,0,0,0,0,0,0,0
olivier-veran,1,0,0,-1,-1,-1,-1,-1,-1,-1
daniele-obono,-1,-1,1,1,1,1,1,1,0,0
xavier-roseren,1,0,0,0,0,0,0,0,-1,-1
olivier-faure,0,0,1,0,0,0,0,0,0,0
paul-christophe,0,0,0,-1,-1,-1,-1,0,-1,-1
pierre-vatin,-1,0,0,0,0,0,0,0,0,0
frederic-descrozaille,1,1,-1,-1,0,0,0,0,-1,-1
thomas-rudigoz,1,0,0,0,0,0,0,0,0,0
sophie-errante,1,0,0,0,0,0,0,0,0,0
damien-abad,0,0,0,0,0,0,0,0,0,0
philippe-bolo,1,1,-1,-1,0,0,0,0,-1,0
stella-dupont,1,0,0,0,0,0,0,0,-1,-1
benedicte-taurine,-1,-1,0,0,0,0,0,0,1,1
jean-philippe-ardouin,1,0,0,0,0,0,0,0,-1,-1
valerie-rabault,0,0,1,0,0,0,0,0,0,0
veronique-louwagie,0,0,0,0,0,0,0,0,-1,-1
sabine-thillaye,1,0,0,0,0,0,0,0,-1,-1
mohamed-laqhila,1,0,0,0,0,0,0,0,-1,-1
julien-dive,0,0,0,-1,-1,-1,-1,0,-1,-1
valerie-bazin-malgras,-1,0,0,0,0,0,0,0,-1,-1
charlotte-parmentier-lecocq,1,0,-1,-1,-1,-1,-1,-1,-1,-1
yael-braun-pivet,1,1,0,0,0,0,0,0,0,0
patrick-vignal,0,0,0,0,0,0,0,0,0,0
fabien-di-filippo,0,1,-1,-1,-1,-1,-1,0,-1,-1
fadila-khattabi,1,1,-1,-1,-1,-1,-1,-1,-1,-1
stephane-mazars,1,0,0,0,0,0,0,0,0,0
caroline-abadie,1,0,0,0,0,0,0,0,0,0
ludovic-mendes,1,0,0,0,0,0,0,0,0,0
eric-poulliat,1,0,-1,0,0,0,0,0,0,0
laurence-vichnievsky,1,1,0,0,0,0,0,0,0,0
bruno-studer,1,1,-1,-1,-1,0,0,-1,0,-1
sophie-panonacle,1,0,-1,-1,0,0,0,0,0,0
hubert-julien-laferriere,1,1,-1,-1,-1,-1,-1,-1,-1,-1
josy-poueyto,1,0,0,0,0,0,0,0,0,0
marietta-karamanli,0,1,0,0,0,0,0,0,0,0
philippe-dunoyer,0,0,0,0,0,0,0,0,0,0
jean-marc-zulesi,1,0,-1,-1,0,0,0,0,0,0
pascale-boyer,1,1,-1,-1,-1,-1,-1,-1,-1,-1
alexis-corbiere,-1,-1,0,1,1,1,0,1,1,1
meyer-habib,0,1,0,0,0,0,0,0,0,0
emmanuelle-anthoine,-1,0,-1,0,-1,-1,-1,0,-1,-1
annie-vidal,1,1,-1,-1,-1,-1,-1,0,-1,-1
jean-jacques-gaultier,0,0,0,0,0,0,0,0,0,0
vincent-thiebaut,1,1,-1,-1,0,-1,-1,-1,0,0
marine-le-pen,-1,1,1,1,0,0,0,0,0,0
marjolaine-meynier-millefert,1,0,-1,-1,-1,-1,-1,-1,0,0
marie-christine-dalloz,0,0,0,0,0,0,0,0,-1,-1
blandine-brocard,1,0,0,0,0,0,0,0,-1,-1
francois-jolivet,1,1,0,0,0,0,0,0,0,0
emmanuel-maquet,0,0,0,0,0,0,0,0,0,0
jean-pierre-vigier,0,0,0,0,0,0,0,0,-1,-1
olivier-dussopt,0,0,0,0,0,0,0,0,0,0
maxime-minot,0,1,-1,-1,-1,-1,-1,0,-1,-1
beatrice-piron,1,0,0,-1,-1,-1,-1,-1,-1,-1
jean-francois-portarrieu,1,0,0,0,0,0,0,0,0,-1
dominique-da-silva,1,1,-1,-1,-1,-1,-1,-1,0,0
jean-michel-jacques,1,0,0,0,0,0,0,0,-1,0
pieyre-alexandre-anglade,1,1,0,0,0,0,0,0,0,0
stephane-viry,0,0,0,0,0,0,0,0,0,-1
guillaume-vuilletet,1,1,0,-1,-1,-1,-1,-1,0,0
marie-pierre-rixain,1,1,-1,0,-1,0,0,-1,0,0
thierry-benoit,0,0,0,0,0,0,0,0,-1,0
eric-ciotti,-1,1,0,0,0,0,0,0,0,0
jean-terlier,1,0,0,0,0,0,0,0,0,0
perrine-goulet,1,0,-1,-1,-1,0,0,-1,-1,0
bruno-millienne,1,0,0,0,0,0,0,0,0,0
veronique-riotton,1,0,0,0,0,0,0,0,0,0
philippe-vigier,0,0,0,0,0,0,0,0,0,0
jean-paul-lecoq,-1,0,1,1,1,0,0,0,1,1
elsa-faucillon,-1,0,0,0,0,0,0,0,1,1
guillaume-garot,1,0,0,0,0,0,0,0,0,0
agnes-firmin-le-bodo,1,0,-1,-1,-1,-1,-1,-1,-1,-1
nicolas-turquois,1,0,0,0,0,0,0,0,0,0
carole-grandjean,1,0,-1,-1,-1,-1,-1,-1,-1,-1
christophe-blanchet,1,0,0,-1,-1,-1,-1,-1,0,0
sandra-marsaud,1,0,-1,-1,-1,-1,-1,-1,0,0
emilie-bonnivard,0,1,0,0,0,0,0,0,-1,-1
celine-calvez,1,0,0,-1,-1,0,0,-1,-1,-1
boris-vallaud,-1,1,1,0,1,1,1,1,1,1
jean-rene-cazeneuve,1,0,-1,-1,-1,-1,-1,-1,-1,-1
jean-paul-mattei,1,0,0,0,0,0,0,0,0,0
nicole-le-peih,1,0,0,-1,0,-1,-1,-1,-1,-1
gabriel-attal,1,1,-1,-1,-1,0,0,0,0,0
patrick-hetzel,0,0,0,0,-1,-1,-1,0,0,-1
jean-louis-bourlanges,1,0,0,0,0,0,0,0,0,0
corinne-vignon,1,0,-1,-1,0,-1,-1,-1,-1,0
danielle-brulebois,1,0,0,0,0,0,0,0,0,-1
michel-lauzzana,1,0,0,0,0,0,0,0,0,0
anne-genetet,1,1,-1,-1,-1,-1,-1,-1,-1,-1
marie-guevenoux,1,0,-1,-1,-1,-1,-1,-1,0,0
andre-villiers,0,0,0,0,0,0,0,0,0,0
sandrine-le-feur,1,0,-1,-1,-1,-1,-1,-1,0,0
geraldine-bannier,1,0,0,0,0,0,0,0,0,0
