deputy_name,parti_ratt_financier,voted_as_party,nb_votes,percentage
thibault-bazin,Les Républicains,35,39,89.74358974358975
laurence-maillart-mehaignerie,Ensemble,27,28,96.42857142857143
daniele-obono,La France Insoumise,66,66,100.0
xavier-roseren,Ensemble,41,41,100.0
olivier-faure,Parti socialiste,36,38,94.73684210526315
paul-christophe,Ensemble,24,40,60.0
pierre-vatin,Les Républicains,7,9,77.77777777777779
frederic-descrozaille,Ensemble,46,48,95.83333333333334
thomas-rudigoz,Ensemble,34,34,100.0
sophie-errante,Ensemble,12,12,100.0
damien-abad,Ensemble,8,22,36.36363636363637
philippe-bolo,Ensemble,36,38,94.73684210526315
stella-dupont,Ensemble,75,77,97.40259740259741
benedicte-taurine,La France Insoumise,80,80,100.0
jean-philippe-ardouin,Ensemble,38,39,97.43589743589743
valerie-rabault,Parti socialiste,15,17,88.23529411764706
veronique-louwagie,Les Républicains,20,27,74.07407407407408
sabine-thillaye,Ensemble,22,23,95.65217391304348
mohamed-laqhila,Ensemble,19,21,90.47619047619048
julien-dive,Les Républicains,24,25,96.0
valerie-bazin-malgras,Les Républicains,14,17,82.35294117647058
charlotte-parmentier-lecocq,Ensemble,45,49,91.83673469387756
yael-braun-pivet,Ensemble,49,51,96.07843137254902
patrick-vignal,Ensemble,1,2,50.0
fabien-di-filippo,Les Républicains,38,44,86.36363636363636
fadila-khattabi,Ensemble,72,72,100.0
stephane-mazars,Ensemble,48,49,97.95918367346938
caroline-abadie,Ensemble,54,54,100.0
ludovic-mendes,Ensemble,14,14,100.0
eric-poulliat,Ensemble,47,47,100.0
laurence-vichnievsky,Ensemble,27,29,93.10344827586206
bruno-studer,Ensemble,33,36,91.66666666666666
sophie-panonacle,Ensemble,27,30,90.0
hubert-julien-laferriere,Europe Écologie Les Verts,39,50,78.0
josy-poueyto,Ensemble,30,37,81.08108108108108
marietta-karamanli,Parti socialiste,8,9,88.88888888888889
philippe-dunoyer,Ensemble,0,1,0.0
jean-marc-zulesi,Ensemble,33,33,100.0
pascale-boyer,Ensemble,70,73,95.8904109589041
alexis-corbiere,La France Insoumise,57,59,96.61016949152543
meyer-habib,Les Républicains,7,8,87.5
emmanuelle-anthoine,Les Républicains,45,55,81.81818181818183
annie-vidal,Ensemble,58,64,90.625
jean-jacques-gaultier,Les Républicains,10,11,90.9090909090909
vincent-thiebaut,Ensemble,47,49,95.91836734693877
marine-le-pen,Rassemblement national,22,23,95.65217391304348
marjolaine-meynier-millefert,Ensemble,35,35,100.0
marie-christine-dalloz,Les Républicains,10,13,76.92307692307693
blandine-brocard,Ensemble,37,39,94.87179487179486
francois-jolivet,Ensemble,21,23,91.30434782608695
emmanuel-maquet,Les Républicains,15,17,88.23529411764706
jean-pierre-vigier,Les Républicains,19,20,95.0
maxime-minot,Les Républicains,55,62,88.70967741935483
beatrice-piron,Ensemble,42,47,89.36170212765957
jean-francois-portarrieu,Alliance centriste,11,12,91.66666666666666
dominique-da-silva,Ensemble,51,56,91.07142857142857
jean-michel-jacques,Ensemble,24,26,92.3076923076923
pieyre-alexandre-anglade,Ensemble,38,39,97.43589743589743
stephane-viry,Les Républicains,15,18,83.33333333333334
guillaume-vuilletet,Ensemble,27,27,100.0
marie-pierre-rixain,Ensemble,30,30,100.0
thierry-benoit,Ensemble,21,46,45.65217391304348
eric-ciotti,Les Républicains,3,5,60.0
jean-terlier,Ensemble,53,55,96.36363636363636
perrine-goulet,Ensemble,39,40,97.5
bruno-millienne,Ensemble,46,54,85.18518518518519
veronique-riotton,Ensemble,39,40,97.5
philippe-vigier,Ensemble,8,25,32.0
jean-paul-lecoq,Parti communiste français,58,59,98.30508474576271
elsa-faucillon,Parti communiste français,52,53,98.11320754716981
guillaume-garot,Parti socialiste,19,21,90.47619047619048
nicolas-turquois,Ensemble,9,13,69.23076923076923
christophe-blanchet,Ensemble,18,21,85.71428571428571
sandra-marsaud,Ensemble,30,30,100.0
emilie-bonnivard,Les Républicains,10,12,83.33333333333334
celine-calvez,Ensemble,63,65,96.92307692307692
boris-vallaud,Parti socialiste,42,43,97.67441860465115
jean-rene-cazeneuve,Ensemble,50,53,94.33962264150944
jean-paul-mattei,Ensemble,47,52,90.38461538461539
nicole-le-peih,Ensemble,32,32,100.0
patrick-hetzel,Les Républicains,21,25,84.0
jean-louis-bourlanges,Ensemble,21,21,100.0
corinne-vignon,Ensemble,69,70,98.57142857142858
danielle-brulebois,Ensemble,48,57,84.21052631578947
michel-lauzzana,Ensemble,24,25,96.0
anne-genetet,Ensemble,50,53,94.33962264150944
marie-guevenoux,Ensemble,52,53,98.11320754716981
andre-villiers,Ensemble,14,20,70.0
sandrine-le-feur,Ensemble,50,52,96.15384615384616
geraldine-bannier,Ensemble,47,49,95.91836734693877
moetai-brotherson,Parti communiste français,13,15,86.66666666666667
aurelien-pradie,Les Républicains,22,26,84.61538461538461
jean-philippe-nilor,Péyi-A,2,2,100.0
bruno-bilde,Rassemblement national,53,53,100.0
yannick-favennec-becot,Ensemble,13,35,37.142857142857146
francois-cormier-bouligeon,Ensemble,23,23,100.0
jimmy-pahun,Ensemble,35,44,79.54545454545455
philippe-gosselin,Les Républicains,38,40,95.0
yannick-haury,Ensemble,4,4,100.0
gilles-le-gendre,Ensemble,58,59,98.30508474576271
stephane-travert,Ensemble,0,1,0.0
aurelien-tache,Europe Écologie Les Verts,31,37,83.78378378378379
benjamin-dirx,Ensemble,61,62,98.38709677419355
thomas-gassilloud,Ensemble,18,18,100.0
richard-ramos,Ensemble,26,33,78.78787878787878
nicolas-forissier,Les Républicains,1,2,50.0
philippe-latombe,Ensemble,36,41,87.8048780487805
philippe-berta,Ensemble,31,33,93.93939393939394
bertrand-pancher,Régions et peuples solidaires,2,2,100.0
joel-giraud,Ensemble,11,11,100.0
herve-saulignac,Parti socialiste,1,3,33.33333333333333
emmanuelle-menard,Non déclaré(s),78,78,100.0
nicolas-dupont-aignan,Debout la France,12,12,100.0
